,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
5198,546,52205,616,b'GALAXY',b'',0.07968871,65.66815,22.82013,51.49073,101.805,15.92022,31.15929,25.9135,-3.152515,-4.791721
5199,547,52207,12,b'GALAXY',b'STARBURST',0.0563946,835.408,159.0464,41.95193,313.712,25.17755,142.4324,97.6165,-45.74023,-17.19189
5200,547,52207,110,b'GALAXY',b'STARFORMING',0.05785862,363.3871,101.734,49.53434,155.2191,12.24225,81.82414,58.17153,-28.62576,-12.13993
5201,547,52207,152,b'GALAXY',b'STARBURST',0.1420252,355.8415,101.5627,77.81052,75.18066,15.00412,64.1644,48.93959,-77.34969,-20.14625
5202,547,52207,340,b'GALAXY',b'STARBURST',0.08555116,394.8617,112.5418,39.13948,133.8866,12.5956,75.23589,54.26345,-42.81726,-14.47208
5203,548,51986,613,b'GALAXY',b'STARFORMING',0.05171547,173.4859,37.13805,30.24692,43.19132,8.823596,44.88158,30.76827,-23.03281,-5.432685
5204,548,51986,626,b'GALAXY',b'STARFORMING BROADLINE',0.1823482,388.2122,71.71222,40.85733,205.0456,9.932852,67.99003,39.49989,-31.47914,-15.6456
5205,549,51981,152,b'GALAXY',b'AGN',0.05285735,131.5691,37.09385,108.4674,114.0896,22.34234,61.8544,45.55212,-4.611919,-4.190937
5206,549,51981,408,b'GALAXY',b'STARFORMING',0.04409409,227.0908,39.57977,22.87944,87.85458,10.76522,57.982,41.32453,-26.64509,-10.68996
5207,550,51959,36,b'GALAXY',b'STARFORMING',0.05300732,210.1861,62.34126,44.98214,52.87883,6.648714,45.68484,31.25146,-31.4968,-7.746554
5208,551,51993,396,b'GALAXY',b'STARBURST',0.06746502,312.2739,85.18726,78.10811,76.25375,9.038531,64.66333,44.02444,-45.70249,-10.92435
5209,551,51993,462,b'GALAXY',b'STARFORMING',0.04423965,152.7982,48.35542,69.45683,26.04811,8.708065,36.13538,27.12226,-18.26196,-3.020188
5210,552,51992,113,b'GALAXY',b'STARFORMING',0.09856801,220.3147,48.73597,30.9784,153.6977,15.60199,64.57278,47.52232,-7.186111,-4.719719
5211,552,51992,509,b'GALAXY',b'STARBURST',0.05783027,786.4127,208.0694,117.5727,242.2107,24.046,154.616,110.4064,-53.30243,-16.66576
5212,552,51992,604,b'GALAXY',b'STARFORMING',0.06144882,179.7641,44.14714,23.28108,64.05189,8.615932,43.16485,31.17212,-19.66225,-7.024718
5213,553,51999,33,b'GALAXY',b'STARBURST',0.1288875,667.6315,171.612,305.051,113.1901,25.81742,120.2723,82.7448,-108.8833,-18.65393
5214,553,51999,316,b'GALAXY',b'STARFORMING',0.1270559,231.3345,38.98865,25.25669,116.3859,14.28799,48.04428,33.40078,-20.64094,-10.20516
5215,554,52000,347,b'GALAXY',b'STARBURST',0.0250157,503.8528,165.2394,345.8254,45.16261,17.05563,93.95943,54.54369,-101.9946,-9.310069
5216,554,52000,470,b'GALAXY',b'STARBURST',0.01187237,223.4119,76.40281,199.4068,15.31422,6.154306,32.60332,22.1459,-63.13448,-5.005415
5217,555,52266,337,b'GALAXY',b'STARFORMING',0.05062265,197.5839,53.86273,18.63946,59.18118,6.70431,41.87465,31.1752,-28.60737,-8.328096
5218,555,52266,371,b'GALAXY',b'STARFORMING',0.1018788,327.4242,80.19159,86.06483,165.6093,11.60652,53.50996,44.57339,-36.83891,-18.23952
5219,555,52266,437,b'GALAXY',b'STARFORMING',0.06561122,371.3086,69.22972,14.7738,187.9309,9.597478,52.88251,41.08194,-16.33785,-8.353519
5220,556,51991,133,b'GALAXY',b'STARFORMING',0.05908778,546.34,88.34315,42.19265,381.2277,29.9008,105.3786,79.88733,-16.91385,-11.59429
5221,556,51991,223,b'GALAXY',b'STARFORMING',0.06247931,207.1229,41.63869,31.43698,117.7026,13.15562,52.81933,39.73846,-12.51901,-7.102064
5222,556,51991,246,b'GALAXY',b'STARBURST',0.07318762,870.6597,195.5842,56.78097,286.2707,18.42298,155.9945,110.0673,-65.36275,-21.49762
5223,634,52164,60,b'GALAXY',b'STARFORMING',0.05181731,320.0732,99.27055,98.90601,65.35265,16.42181,75.97208,52.53465,-25.16209,-5.221492
5224,634,52164,225,b'GALAXY',b'STARFORMING',0.03610551,271.5271,90.50832,75.19205,61.96598,10.30105,61.74811,41.2424,-28.69739,-6.39582
5225,634,52164,230,b'GALAXY',b'STARBURST',0.1327649,4238.945,1040.838,1109.015,1273.93,175.21,676.1771,512.6042,-169.5493,-50.01161
5226,634,52164,308,b'GALAXY',b'STARBURST',0.02815008,1555.901,448.7911,1529.367,66.5682,36.90476,163.9593,116.3556,-156.7435,-7.195788
5227,636,52176,97,b'GALAXY',b'STARFORMING',0.02790517,314.1495,82.66941,50.3791,154.2948,13.34738,86.80379,61.56924,-10.76258,-5.179064
5228,637,52174,354,b'GALAXY',b'STARBURST',0.08871251,184.4352,56.40475,69.86861,24.75886,10.62687,43.02665,30.86764,-44.1675,-5.018161
5229,639,52146,536,b'GALAXY',b'STARBURST',0.04503705,1028.845,236.8176,109.684,333.2235,34.9992,210.2079,154.9996,-50.72259,-16.60917
5230,640,52200,78,b'GALAXY',b'STARBURST',0.1835372,872.6184,163.8711,78.16228,391.8851,26.42183,142.2117,122.2369,-69.79945,-30.82796
5231,640,52178,149,b'GALAXY',b'AGN',0.08643771,112.5767,29.98395,68.39188,122.4183,23.81156,58.56455,44.34018,-4.846436,-4.883165
5232,641,52199,53,b'GALAXY',b'STARFORMING',0.1310969,337.6512,82.88412,17.87833,148.0525,11.21741,39.94703,32.48288,-29.66638,-12.80041
5233,641,52199,254,b'GALAXY',b'STARFORMING',0.09448259,122.9492,29.8161,41.202,41.55251,15.52236,38.61456,26.59454,-11.16444,-3.710364
5234,641,52199,585,b'GALAXY',b'STARFORMING',0.05892159,444.8348,102.4245,306.1181,132.9145,31.94685,101.0041,78.47176,-26.15963,-8.110509
5235,644,52173,225,b'GALAXY',b'STARFORMING',0.05217675,473.6731,124.336,43.87304,150.1437,11.73515,95.96178,72.27016,-32.89756,-9.989101
5236,644,52149,427,b'GALAXY',b'STARFORMING',0.08494855,444.3391,112.8596,40.10075,175.0693,11.7932,82.75519,58.61316,-33.4356,-13.75974
5237,646,52523,316,b'GALAXY',b'STARFORMING',0.08301064,400.3187,89.16747,23.41486,209.261,9.650524,73.81193,47.79469,-32.23828,-16.82757
5238,646,52523,436,b'GALAXY',b'STARFORMING',0.08495139,313.5761,63.42644,19.64359,128.9744,11.24208,57.76892,38.85723,-32.7303,-13.42317
5239,646,52523,529,b'GALAXY',b'STARFORMING',0.01588093,221.1881,59.30578,37.19592,57.4312,7.460962,49.74297,37.50299,-30.96652,-7.980459
5240,647,52553,434,b'GALAXY',b'STARBURST',0.07240954,345.6381,76.21207,61.48407,86.44583,10.8181,72.29956,50.69242,-46.6772,-12.09255
5241,647,52553,597,b'GALAXY',b'STARBURST',0.09546074,471.9594,111.687,50.31832,211.8288,10.36858,85.32646,59.99519,-42.87821,-19.70976
